0-10--1-4-6-6-4 [RHEA-Custom,MCTS-Custom,MCTS-Custom,RHEA-Custom]
93988, 0/200, [TIE, TIE, TIE, TIE]
93988, 1/200, [LOSS, LOSS, WIN, LOSS]
93988, 2/200, [TIE, TIE, LOSS, TIE]
93988, 3/200, [TIE, TIE, TIE, TIE]
93988, 4/200, [TIE, TIE, TIE, TIE]
93988, 5/200, [TIE, TIE, TIE, TIE]
93988, 6/200, [TIE, TIE, LOSS, LOSS]
93988, 7/200, [TIE, TIE, TIE, TIE]
93988, 8/200, [TIE, TIE, TIE, TIE]
93988, 9/200, [LOSS, TIE, TIE, TIE]
19067, 10/200, [TIE, TIE, TIE, TIE]
19067, 11/200, [TIE, TIE, TIE, TIE]
19067, 12/200, [TIE, TIE, TIE, TIE]
19067, 13/200, [TIE, TIE, TIE, TIE]
19067, 14/200, [TIE, TIE, TIE, TIE]
19067, 15/200, [TIE, TIE, TIE, LOSS]
19067, 16/200, [TIE, TIE, TIE, TIE]
19067, 17/200, [TIE, TIE, TIE, TIE]
19067, 18/200, [TIE, LOSS, TIE, TIE]
19067, 19/200, [TIE, TIE, TIE, TIE]
64416, 20/200, [TIE, TIE, TIE, TIE]
64416, 21/200, [LOSS, TIE, LOSS, TIE]
64416, 22/200, [TIE, TIE, TIE, TIE]
64416, 23/200, [TIE, TIE, LOSS, TIE]
64416, 24/200, [TIE, TIE, TIE, TIE]
64416, 25/200, [TIE, TIE, TIE, TIE]
64416, 26/200, [TIE, TIE, TIE, TIE]
64416, 27/200, [TIE, TIE, TIE, TIE]
64416, 28/200, [LOSS, TIE, LOSS, TIE]
64416, 29/200, [LOSS, TIE, TIE, TIE]
83884, 30/200, [LOSS, TIE, TIE, TIE]
83884, 31/200, [TIE, TIE, TIE, TIE]
83884, 32/200, [LOSS, TIE, TIE, TIE]
83884, 33/200, [TIE, TIE, LOSS, LOSS]
83884, 34/200, [TIE, TIE, TIE, TIE]
83884, 35/200, [TIE, TIE, TIE, LOSS]
83884, 36/200, [LOSS, TIE, TIE, TIE]
83884, 37/200, [LOSS, TIE, TIE, TIE]
83884, 38/200, [LOSS, TIE, TIE, TIE]
83884, 39/200, [LOSS, TIE, TIE, TIE]
55636, 40/200, [TIE, TIE, TIE, TIE]
55636, 41/200, [LOSS, TIE, TIE, TIE]
55636, 42/200, [TIE, TIE, TIE, LOSS]
55636, 43/200, [TIE, TIE, LOSS, TIE]
55636, 44/200, [LOSS, TIE, TIE, TIE]
55636, 45/200, [TIE, TIE, TIE, LOSS]
55636, 46/200, [LOSS, TIE, LOSS, TIE]
55636, 47/200, [TIE, TIE, TIE, TIE]
55636, 48/200, [LOSS, TIE, TIE, TIE]
55636, 49/200, [TIE, TIE, TIE, TIE]
27599, 50/200, [TIE, TIE, TIE, TIE]
27599, 51/200, [LOSS, TIE, TIE, TIE]
27599, 52/200, [TIE, TIE, LOSS, TIE]
27599, 53/200, [LOSS, TIE, TIE, TIE]
27599, 54/200, [TIE, TIE, TIE, LOSS]
27599, 55/200, [LOSS, TIE, LOSS, TIE]
27599, 56/200, [LOSS, LOSS, LOSS, WIN]
27599, 57/200, [TIE, TIE, TIE, TIE]
27599, 58/200, [WIN, LOSS, LOSS, LOSS]
27599, 59/200, [TIE, TIE, TIE, TIE]
44350, 60/200, [LOSS, TIE, TIE, TIE]
44350, 61/200, [TIE, TIE, LOSS, TIE]
44350, 62/200, [LOSS, TIE, TIE, TIE]
44350, 63/200, [TIE, TIE, TIE, TIE]
44350, 64/200, [TIE, TIE, TIE, TIE]
44350, 65/200, [TIE, TIE, TIE, LOSS]
44350, 66/200, [TIE, TIE, TIE, TIE]
44350, 67/200, [TIE, TIE, LOSS, TIE]
44350, 68/200, [LOSS, TIE, TIE, TIE]
44350, 69/200, [LOSS, TIE, TIE, TIE]
87872, 70/200, [TIE, TIE, TIE, TIE]
87872, 71/200, [LOSS, TIE, TIE, TIE]
87872, 72/200, [TIE, TIE, TIE, TIE]
87872, 73/200, [TIE, TIE, LOSS, LOSS]
87872, 74/200, [TIE, TIE, LOSS, TIE]
87872, 75/200, [TIE, TIE, TIE, LOSS]
87872, 76/200, [TIE, TIE, TIE, LOSS]
87872, 77/200, [TIE, LOSS, TIE, TIE]
87872, 78/200, [LOSS, TIE, TIE, TIE]
87872, 79/200, [TIE, TIE, TIE, TIE]
40815, 80/200, [TIE, TIE, TIE, LOSS]
40815, 81/200, [TIE, TIE, TIE, LOSS]
40815, 82/200, [TIE, TIE, TIE, TIE]
40815, 83/200, [TIE, TIE, TIE, TIE]
40815, 84/200, [TIE, TIE, LOSS, TIE]
40815, 85/200, [TIE, TIE, TIE, LOSS]
40815, 86/200, [LOSS, TIE, TIE, TIE]
40815, 87/200, [TIE, TIE, TIE, TIE]
40815, 88/200, [TIE, TIE, TIE, TIE]
40815, 89/200, [LOSS, TIE, TIE, TIE]
11772, 90/200, [LOSS, TIE, TIE, TIE]
11772, 91/200, [TIE, TIE, TIE, TIE]
11772, 92/200, [TIE, TIE, TIE, TIE]
11772, 93/200, [TIE, TIE, TIE, TIE]
11772, 94/200, [LOSS, WIN, LOSS, LOSS]
11772, 95/200, [TIE, TIE, TIE, TIE]
11772, 96/200, [TIE, TIE, TIE, LOSS]
11772, 97/200, [LOSS, LOSS, TIE, TIE]
11772, 98/200, [TIE, TIE, TIE, TIE]
11772, 99/200, [TIE, TIE, TIE, TIE]
58367, 100/200, [TIE, TIE, TIE, LOSS]
58367, 101/200, [LOSS, TIE, TIE, TIE]
58367, 102/200, [TIE, TIE, TIE, TIE]
58367, 103/200, [TIE, TIE, TIE, TIE]
58367, 104/200, [TIE, TIE, TIE, TIE]
58367, 105/200, [LOSS, LOSS, TIE, TIE]
58367, 106/200, [TIE, TIE, LOSS, TIE]
58367, 107/200, [LOSS, TIE, TIE, TIE]
58367, 108/200, [TIE, TIE, TIE, TIE]
58367, 109/200, [TIE, LOSS, TIE, TIE]
17546, 110/200, [LOSS, LOSS, TIE, TIE]
17546, 111/200, [TIE, TIE, TIE, TIE]
17546, 112/200, [TIE, TIE, TIE, TIE]
17546, 113/200, [TIE, TIE, TIE, TIE]
17546, 114/200, [TIE, TIE, TIE, TIE]
17546, 115/200, [TIE, TIE, TIE, TIE]
17546, 116/200, [TIE, LOSS, LOSS, TIE]
17546, 117/200, [TIE, LOSS, TIE, TIE]
17546, 118/200, [TIE, TIE, TIE, TIE]
17546, 119/200, [LOSS, TIE, TIE, LOSS]
75375, 120/200, [TIE, TIE, TIE, TIE]
75375, 121/200, [TIE, TIE, TIE, TIE]
75375, 122/200, [TIE, TIE, TIE, TIE]
75375, 123/200, [TIE, TIE, TIE, TIE]
75375, 124/200, [TIE, TIE, TIE, TIE]
75375, 125/200, [TIE, TIE, TIE, TIE]
75375, 126/200, [TIE, TIE, TIE, TIE]
75375, 127/200, [LOSS, TIE, TIE, LOSS]
75375, 128/200, [TIE, TIE, TIE, TIE]
75375, 129/200, [TIE, TIE, TIE, TIE]
75772, 130/200, [TIE, TIE, TIE, TIE]
75772, 131/200, [TIE, TIE, TIE, TIE]
75772, 132/200, [TIE, TIE, TIE, LOSS]
75772, 133/200, [TIE, TIE, TIE, TIE]
75772, 134/200, [TIE, LOSS, TIE, TIE]
75772, 135/200, [TIE, TIE, LOSS, LOSS]
75772, 136/200, [TIE, TIE, TIE, TIE]
75772, 137/200, [TIE, TIE, TIE, TIE]
75772, 138/200, [TIE, TIE, TIE, TIE]
75772, 139/200, [TIE, LOSS, TIE, TIE]
58237, 140/200, [TIE, LOSS, LOSS, TIE]
58237, 141/200, [TIE, TIE, LOSS, TIE]
58237, 142/200, [TIE, TIE, TIE, TIE]
58237, 143/200, [TIE, TIE, TIE, TIE]
58237, 144/200, [TIE, TIE, TIE, LOSS]
58237, 145/200, [TIE, LOSS, TIE, LOSS]
58237, 146/200, [TIE, TIE, TIE, LOSS]
58237, 147/200, [LOSS, TIE, TIE, TIE]
58237, 148/200, [TIE, TIE, LOSS, TIE]
58237, 149/200, [LOSS, TIE, TIE, TIE]
30464, 150/200, [LOSS, WIN, LOSS, LOSS]
30464, 151/200, [LOSS, TIE, TIE, TIE]
30464, 152/200, [TIE, TIE, TIE, TIE]
30464, 153/200, [TIE, TIE, LOSS, TIE]
30464, 154/200, [LOSS, TIE, TIE, TIE]
30464, 155/200, [LOSS, TIE, TIE, TIE]
30464, 156/200, [TIE, LOSS, LOSS, TIE]
30464, 157/200, [TIE, TIE, TIE, TIE]
30464, 158/200, [TIE, LOSS, TIE, LOSS]
30464, 159/200, [TIE, TIE, TIE, TIE]
27180, 160/200, [TIE, TIE, TIE, TIE]
27180, 161/200, [LOSS, TIE, TIE, TIE]
27180, 162/200, [TIE, TIE, TIE, LOSS]
27180, 163/200, [WIN, LOSS, LOSS, LOSS]
27180, 164/200, [LOSS, TIE, TIE, TIE]
27180, 165/200, [TIE, TIE, LOSS, LOSS]
27180, 166/200, [TIE, TIE, TIE, TIE]
27180, 167/200, [LOSS, TIE, TIE, TIE]
27180, 168/200, [LOSS, TIE, LOSS, TIE]
27180, 169/200, [TIE, LOSS, TIE, TIE]
23643, 170/200, [TIE, TIE, TIE, LOSS]
23643, 171/200, [TIE, TIE, TIE, TIE]
23643, 172/200, [TIE, TIE, LOSS, TIE]
23643, 173/200, [TIE, TIE, TIE, LOSS]
23643, 174/200, [TIE, TIE, TIE, LOSS]
23643, 175/200, [TIE, TIE, TIE, TIE]
23643, 176/200, [TIE, TIE, TIE, LOSS]
23643, 177/200, [TIE, TIE, TIE, LOSS]
23643, 178/200, [TIE, TIE, TIE, LOSS]
23643, 179/200, [LOSS, TIE, TIE, LOSS]
67054, 180/200, [WIN, LOSS, LOSS, LOSS]
67054, 181/200, [LOSS, TIE, TIE, TIE]
67054, 182/200, [TIE, TIE, LOSS, TIE]
67054, 183/200, [TIE, TIE, TIE, LOSS]
67054, 184/200, [TIE, TIE, TIE, LOSS]
67054, 185/200, [WIN, LOSS, LOSS, LOSS]
67054, 186/200, [LOSS, TIE, TIE, TIE]
67054, 187/200, [LOSS, TIE, TIE, TIE]
67054, 188/200, [WIN, LOSS, LOSS, LOSS]
67054, 189/200, [WIN, LOSS, LOSS, LOSS]
19508, 190/200, [LOSS, WIN, LOSS, LOSS]
19508, 191/200, [LOSS, TIE, LOSS, TIE]
19508, 192/200, [TIE, TIE, TIE, LOSS]
19508, 193/200, [TIE, TIE, TIE, LOSS]
19508, 194/200, [TIE, TIE, TIE, TIE]
19508, 195/200, [TIE, TIE, TIE, TIE]
19508, 196/200, [TIE, TIE, TIE, TIE]
19508, 197/200, [LOSS, TIE, TIE, TIE]
19508, 198/200, [TIE, TIE, TIE, TIE]
19508, 199/200, [TIE, TIE, TIE, TIE]
N 	Win 	Tie 	Loss 	Player
200	3.0%	70.5%	26.5%	players.rhea.RHEAPlayer
200	1.5%	87.0%	11.5%	players.mcts.MCTSPlayer
200	0.5%	80.5%	19.0%	players.mcts.MCTSPlayer
200	0.5%	76.0%	23.5%	players.rhea.RHEAPlayer
