0-10-1-4-2-6-3 [RHEA-Custom,OSLA,MCTS-Custom,SimplePlayer]
93988, 0/200, [LOSS, LOSS, WIN, LOSS]
93988, 1/200, [LOSS, LOSS, WIN, LOSS]
93988, 2/200, [LOSS, LOSS, WIN, LOSS]
93988, 3/200, [LOSS, LOSS, WIN, LOSS]
93988, 4/200, [LOSS, LOSS, WIN, LOSS]
93988, 5/200, [LOSS, LOSS, WIN, LOSS]
93988, 6/200, [LOSS, LOSS, WIN, LOSS]
93988, 7/200, [LOSS, LOSS, WIN, LOSS]
93988, 8/200, [LOSS, LOSS, WIN, LOSS]
93988, 9/200, [WIN, LOSS, LOSS, LOSS]
19067, 10/200, [LOSS, LOSS, WIN, LOSS]
19067, 11/200, [LOSS, LOSS, WIN, LOSS]
19067, 12/200, [WIN, LOSS, LOSS, LOSS]
19067, 13/200, [LOSS, LOSS, WIN, LOSS]
19067, 14/200, [LOSS, LOSS, WIN, LOSS]
19067, 15/200, [LOSS, LOSS, WIN, LOSS]
19067, 16/200, [LOSS, LOSS, WIN, LOSS]
19067, 17/200, [LOSS, LOSS, WIN, LOSS]
19067, 18/200, [LOSS, LOSS, WIN, LOSS]
19067, 19/200, [WIN, LOSS, LOSS, LOSS]
64416, 20/200, [LOSS, LOSS, WIN, LOSS]
64416, 21/200, [TIE, LOSS, TIE, LOSS]
64416, 22/200, [TIE, LOSS, TIE, LOSS]
64416, 23/200, [LOSS, LOSS, WIN, LOSS]
64416, 24/200, [TIE, LOSS, TIE, LOSS]
64416, 25/200, [LOSS, LOSS, WIN, LOSS]
64416, 26/200, [LOSS, WIN, LOSS, LOSS]
64416, 27/200, [WIN, LOSS, LOSS, LOSS]
64416, 28/200, [LOSS, LOSS, WIN, LOSS]
64416, 29/200, [WIN, LOSS, LOSS, LOSS]
83884, 30/200, [WIN, LOSS, LOSS, LOSS]
83884, 31/200, [LOSS, LOSS, WIN, LOSS]
83884, 32/200, [LOSS, LOSS, WIN, LOSS]
83884, 33/200, [LOSS, LOSS, WIN, LOSS]
83884, 34/200, [LOSS, WIN, LOSS, LOSS]
83884, 35/200, [LOSS, LOSS, WIN, LOSS]
83884, 36/200, [WIN, LOSS, LOSS, LOSS]
