0-10-4-4-2-6-3 [RHEA-Custom,OSLA,MCTS-Custom,SimplePlayer]
93988, 0/200, [TIE, LOSS, TIE, LOSS]
93988, 1/200, [TIE, LOSS, LOSS, TIE]
93988, 2/200, [WIN, LOSS, LOSS, LOSS]
93988, 3/200, [TIE, LOSS, TIE, LOSS]
93988, 4/200, [TIE, LOSS, TIE, LOSS]
93988, 5/200, [TIE, LOSS, TIE, LOSS]
93988, 6/200, [TIE, LOSS, TIE, LOSS]
93988, 7/200, [TIE, LOSS, TIE, TIE]
93988, 8/200, [TIE, LOSS, TIE, LOSS]
93988, 9/200, [TIE, LOSS, TIE, LOSS]
19067, 10/200, [LOSS, LOSS, WIN, LOSS]
19067, 11/200, [TIE, LOSS, TIE, TIE]
19067, 12/200, [TIE, LOSS, TIE, LOSS]
19067, 13/200, [LOSS, LOSS, LOSS, WIN]
19067, 14/200, [TIE, LOSS, TIE, LOSS]
19067, 15/200, [TIE, LOSS, TIE, LOSS]
19067, 16/200, [WIN, LOSS, LOSS, LOSS]
19067, 17/200, [TIE, LOSS, TIE, TIE]
19067, 18/200, [TIE, TIE, TIE, LOSS]
19067, 19/200, [WIN, LOSS, LOSS, LOSS]
64416, 20/200, [TIE, LOSS, TIE, LOSS]
64416, 21/200, [TIE, LOSS, TIE, LOSS]
64416, 22/200, [WIN, LOSS, LOSS, LOSS]
64416, 23/200, [TIE, LOSS, TIE, TIE]
64416, 24/200, [TIE, LOSS, TIE, LOSS]
64416, 25/200, [TIE, LOSS, TIE, LOSS]
64416, 26/200, [TIE, LOSS, TIE, TIE]
64416, 27/200, [WIN, LOSS, LOSS, LOSS]
64416, 28/200, [WIN, LOSS, LOSS, LOSS]
64416, 29/200, [WIN, LOSS, LOSS, LOSS]
83884, 30/200, [WIN, LOSS, LOSS, LOSS]
83884, 31/200, [WIN, LOSS, LOSS, LOSS]
83884, 32/200, [LOSS, LOSS, WIN, LOSS]
83884, 33/200, [WIN, LOSS, LOSS, LOSS]
83884, 34/200, [TIE, LOSS, LOSS, LOSS]
83884, 35/200, [TIE, LOSS, TIE, LOSS]
83884, 36/200, [LOSS, LOSS, WIN, LOSS]
83884, 37/200, [WIN, LOSS, LOSS, LOSS]
83884, 38/200, [LOSS, LOSS, WIN, LOSS]
83884, 39/200, [TIE, LOSS, TIE, LOSS]
55636, 40/200, [TIE, LOSS, TIE, TIE]
55636, 41/200, [TIE, LOSS, TIE, LOSS]
55636, 42/200, [WIN, LOSS, LOSS, LOSS]
55636, 43/200, [LOSS, LOSS, WIN, LOSS]
55636, 44/200, [TIE, LOSS, TIE, TIE]
55636, 45/200, [TIE, LOSS, TIE, LOSS]
55636, 46/200, [TIE, LOSS, LOSS, TIE]
55636, 47/200, [TIE, LOSS, TIE, LOSS]
55636, 48/200, [TIE, LOSS, TIE, TIE]
55636, 49/200, [TIE, LOSS, TIE, LOSS]
27599, 50/200, [TIE, LOSS, TIE, LOSS]
27599, 51/200, [LOSS, LOSS, WIN, LOSS]
27599, 52/200, [TIE, TIE, TIE, LOSS]
27599, 53/200, [TIE, LOSS, TIE, LOSS]
27599, 54/200, [WIN, LOSS, LOSS, LOSS]
27599, 55/200, [TIE, LOSS, TIE, LOSS]
27599, 56/200, [TIE, LOSS, TIE, LOSS]
27599, 57/200, [TIE, LOSS, TIE, LOSS]
27599, 58/200, [WIN, LOSS, LOSS, LOSS]
27599, 59/200, [TIE, LOSS, TIE, LOSS]
44350, 60/200, [LOSS, LOSS, WIN, LOSS]
44350, 61/200, [TIE, LOSS, TIE, LOSS]
44350, 62/200, [TIE, LOSS, TIE, TIE]
44350, 63/200, [TIE, LOSS, TIE, LOSS]
44350, 64/200, [TIE, LOSS, TIE, LOSS]
44350, 65/200, [TIE, LOSS, TIE, LOSS]
44350, 66/200, [LOSS, LOSS, WIN, LOSS]
44350, 67/200, [TIE, LOSS, TIE, LOSS]
44350, 68/200, [LOSS, LOSS, WIN, LOSS]
44350, 69/200, [LOSS, LOSS, LOSS, WIN]
87872, 70/200, [TIE, LOSS, TIE, LOSS]
87872, 71/200, [TIE, LOSS, TIE, LOSS]
87872, 72/200, [TIE, LOSS, TIE, TIE]
87872, 73/200, [TIE, LOSS, TIE, LOSS]
87872, 74/200, [TIE, LOSS, TIE, LOSS]
87872, 75/200, [TIE, LOSS, TIE, LOSS]
87872, 76/200, [TIE, LOSS, TIE, LOSS]
87872, 77/200, [TIE, LOSS, TIE, LOSS]
87872, 78/200, [TIE, LOSS, TIE, LOSS]
87872, 79/200, [LOSS, LOSS, TIE, TIE]
40815, 80/200, [TIE, LOSS, TIE, LOSS]
40815, 81/200, [TIE, LOSS, TIE, TIE]
40815, 82/200, [TIE, LOSS, LOSS, TIE]
40815, 83/200, [LOSS, LOSS, WIN, LOSS]
40815, 84/200, [TIE, LOSS, TIE, TIE]
40815, 85/200, [TIE, LOSS, TIE, LOSS]
40815, 86/200, [LOSS, LOSS, WIN, LOSS]
40815, 87/200, [WIN, LOSS, LOSS, LOSS]
40815, 88/200, [WIN, LOSS, LOSS, LOSS]
40815, 89/200, [TIE, LOSS, TIE, LOSS]
11772, 90/200, [LOSS, TIE, TIE, LOSS]
11772, 91/200, [WIN, LOSS, LOSS, LOSS]
11772, 92/200, [TIE, LOSS, TIE, LOSS]
11772, 93/200, [LOSS, LOSS, WIN, LOSS]
11772, 94/200, [WIN, LOSS, LOSS, LOSS]
11772, 95/200, [WIN, LOSS, LOSS, LOSS]
11772, 96/200, [LOSS, LOSS, WIN, LOSS]
11772, 97/200, [LOSS, LOSS, LOSS, WIN]
11772, 98/200, [LOSS, LOSS, WIN, LOSS]
11772, 99/200, [WIN, LOSS, LOSS, LOSS]
58367, 100/200, [TIE, LOSS, TIE, LOSS]
58367, 101/200, [TIE, LOSS, TIE, LOSS]
58367, 102/200, [TIE, LOSS, TIE, LOSS]
58367, 103/200, [LOSS, LOSS, WIN, LOSS]
58367, 104/200, [LOSS, LOSS, TIE, TIE]
