1-10-2-3-4-3-4 [SimplePlayer,RHEA-Custom,SimplePlayer,RHEA-Custom]
93988, 0/200, [LOSS, WIN, LOSS, WIN]
93988, 1/200, [WIN, LOSS, WIN, LOSS]
93988, 2/200, [LOSS, WIN, LOSS, WIN]
93988, 3/200, [WIN, LOSS, WIN, LOSS]
93988, 4/200, [WIN, LOSS, WIN, LOSS]
93988, 5/200, [WIN, LOSS, WIN, LOSS]
93988, 6/200, [WIN, LOSS, WIN, LOSS]
93988, 7/200, [LOSS, WIN, LOSS, WIN]
93988, 8/200, [TIE, TIE, TIE, TIE]
93988, 9/200, [WIN, LOSS, WIN, LOSS]
19067, 10/200, [LOSS, WIN, LOSS, WIN]
19067, 11/200, [TIE, TIE, TIE, TIE]
19067, 12/200, [LOSS, WIN, LOSS, WIN]
19067, 13/200, [LOSS, WIN, LOSS, WIN]
19067, 14/200, [TIE, TIE, TIE, TIE]
19067, 15/200, [LOSS, WIN, LOSS, WIN]
19067, 16/200, [TIE, TIE, TIE, TIE]
19067, 17/200, [TIE, TIE, TIE, TIE]
19067, 18/200, [TIE, TIE, TIE, TIE]
19067, 19/200, [WIN, LOSS, WIN, LOSS]
64416, 20/200, [TIE, TIE, TIE, TIE]
64416, 21/200, [WIN, LOSS, WIN, LOSS]
64416, 22/200, [WIN, LOSS, WIN, LOSS]
64416, 23/200, [WIN, LOSS, WIN, LOSS]
64416, 24/200, [LOSS, WIN, LOSS, WIN]
64416, 25/200, [WIN, LOSS, WIN, LOSS]
64416, 26/200, [WIN, LOSS, WIN, LOSS]
64416, 27/200, [LOSS, WIN, LOSS, WIN]
64416, 28/200, [LOSS, WIN, LOSS, WIN]
64416, 29/200, [LOSS, WIN, LOSS, WIN]
83884, 30/200, [WIN, LOSS, WIN, LOSS]
83884, 31/200, [WIN, LOSS, WIN, LOSS]
83884, 32/200, [TIE, TIE, TIE, TIE]
83884, 33/200, [TIE, TIE, TIE, TIE]
83884, 34/200, [LOSS, WIN, LOSS, WIN]
83884, 35/200, [WIN, LOSS, WIN, LOSS]
83884, 36/200, [LOSS, WIN, LOSS, WIN]
83884, 37/200, [TIE, TIE, TIE, TIE]
83884, 38/200, [LOSS, WIN, LOSS, WIN]
83884, 39/200, [LOSS, WIN, LOSS, WIN]
55636, 40/200, [LOSS, WIN, LOSS, WIN]
55636, 41/200, [WIN, LOSS, WIN, LOSS]
